=======Command line arguments=======
N_atoms: 125
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
box length: 2.419e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
   8000   3.892e-01  -8.896e-03  3.80289e-01  150.34  1.582e-05
   8100   3.842e-01  -8.896e-03  3.75300e-01  148.41  1.558e-05
   8200   3.945e-01  -8.896e-03  3.85634e-01  152.40  1.607e-05
   8300   3.647e-01  -8.896e-03  3.55758e-01  140.86  1.466e-05
   8400   3.864e-01  -8.896e-03  3.77494e-01  149.26  1.569e-05
   8500   3.755e-01  -8.896e-03  3.66610e-01  145.05  1.517e-05
   8600   3.805e-01  -8.896e-03  3.71608e-01  146.98  1.541e-05
   8700   3.651e-01  -8.896e-03  3.56193e-01  141.03  1.468e-05
   8800   3.635e-01  -8.896e-03  3.54637e-01  140.43  1.461e-05
   8900   3.900e-01  -8.896e-03  3.81111e-01  150.66  1.586e-05
   9000   3.664e-01  -8.896e-03  3.57471e-01  141.52  1.474e-05
   9100   3.938e-01  -8.896e-03  3.84914e-01  152.12  1.604e-05
   9200   4.107e-01  -8.896e-03  4.01821e-01  158.66  1.683e-05
   9300   3.674e-01  -8.896e-03  3.58514e-01  141.93  1.479e-05
   9400   3.828e-01  -8.896e-03  3.73867e-01  147.86  1.552e-05
   9500   3.886e-01  -8.896e-03  3.79691e-01  150.11  1.579e-05
   9600   3.945e-01  -8.896e-03  3.85605e-01  152.39  1.607e-05
   9700   3.618e-01  -8.896e-03  3.52900e-01  139.76  1.453e-05
   9800   3.842e-01  -8.896e-03  3.75354e-01  148.43  1.559e-05
   9900   3.691e-01  -8.896e-03  3.60243e-01  142.59  1.487e-05
  10000   3.840e-01  -8.896e-03  3.75063e-01  148.32  1.557e-05
Simulation Complete!
Total simulation time:              1.179 secs
Force/energy time:                  1.126 secs (95.48%)
Position/velocity update time:      0.025 secs ( 2.09%)
Thermo/trajectory output time:      0.027 secs ( 2.26%)
