=======Command line arguments=======
N_atoms: 125
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
box length: 2.419e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
   8000   3.662e-01  -8.896e-03  3.57328e-01  141.47  1.474e-05
   8100   3.880e-01  -8.896e-03  3.79085e-01  149.87  1.576e-05
   8200   3.996e-01  -8.896e-03  3.90662e-01  154.34  1.631e-05
   8300   3.782e-01  -8.896e-03  3.69282e-01  146.09  1.530e-05
   8400   3.731e-01  -8.896e-03  3.64166e-01  144.11  1.506e-05
   8500   3.722e-01  -8.896e-03  3.63307e-01  143.78  1.502e-05
   8600   4.072e-01  -8.896e-03  3.98264e-01  157.28  1.666e-05
   8700   3.964e-01  -8.896e-03  3.87508e-01  153.13  1.616e-05
   8800   3.750e-01  -8.896e-03  3.66059e-01  144.84  1.515e-05
   8900   3.965e-01  -8.896e-03  3.87643e-01  153.18  1.616e-05
   9000   3.706e-01  -8.896e-03  3.61685e-01  143.15  1.494e-05
   9100   3.843e-01  -8.896e-03  3.75417e-01  148.46  1.559e-05
   9200   3.943e-01  -8.896e-03  3.85392e-01  152.31  1.606e-05
   9300   4.064e-01  -8.896e-03  3.97511e-01  156.99  1.663e-05
   9400   3.757e-01  -8.896e-03  3.66802e-01  145.13  1.518e-05
   9500   3.901e-01  -8.896e-03  3.81241e-01  150.71  1.586e-05
   9600   3.924e-01  -8.896e-03  3.83472e-01  151.57  1.597e-05
   9700   3.750e-01  -8.896e-03  3.66093e-01  144.85  1.515e-05
   9800   3.665e-01  -8.896e-03  3.57626e-01  141.58  1.475e-05
   9900   3.886e-01  -8.896e-03  3.79726e-01  150.12  1.579e-05
  10000   3.994e-01  -8.896e-03  3.90489e-01  154.28  1.630e-05
Simulation Complete!
Total simulation time:              0.653 secs
Force/energy time:                  0.628 secs (96.09%)
Position/velocity update time:      0.012 secs ( 1.77%)
Thermo/trajectory output time:      0.013 secs ( 1.95%)
